seed=0 ega_chests=1 (-3776,2272)x2
seed=69 ega_chests=1 (-1168,-2224)x2
seed=125 ega_chests=1 (4112,2912)x2
seed=217 ega_chests=1 (64,-3456)x2
seed=282 ega_chests=1 (4096,-2448)x2
seed=318 ega_chests=1 (-4112,352)x2
seed=332 ega_chests=1 (4144,288)x2
seed=514 ega_chests=1 (-2992,4112)x2
seed=540 ega_chests=1 (4112,2240)x2
seed=545 ega_chests=1 (2128,-2912)x2
seed=571 ega_chests=1 (1952,-2240)x2
seed=727 ega_chests=1 (4016,1424)x2
seed=731 ega_chests=1 (-1568,-4128)x2
seed=796 ega_chests=1 (3856,-336)x2
seed=827 ega_chests=1 (720,224)x2
seed=830 ega_chests=1 (688,3200)x2
seed=842 ega_chests=1 (960,-2400)x2
seed=857 ega_chests=1 (-1776,2656)x2
seed=887 ega_chests=1 (2576,-1216)x2
seed=961 ega_chests=1 (112,-1632)x2
seed=1002 ega_chests=1 (-2432,2656)x2
seed=1059 ega_chests=2 (128,-3760)x2 (1424,1312)x2
seed=1129 ega_chests=1 (3232,912)x2
seed=1131 ega_chests=1 (1328,-384)x2
seed=1383 ega_chests=1 (-1728,-1072)x2
seed=1419 ega_chests=1 (-2416,-2544)x2
seed=1481 ega_chests=1 (-1008,-4144)x2
seed=1513 ega_chests=1 (160,4096)x2
seed=1609 ega_chests=1 (2208,4656)x2
seed=1652 ega_chests=1 (144,-4336)x2
seed=1677 ega_chests=1 (4752,-928)x2
seed=1708 ega_chests=1 (-2944,2080)x2
seed=1743 ega_chests=1 (720,736)x2
seed=1780 ega_chests=1 (2592,-2464)x2
seed=1786 ega_chests=1 (3296,896)x2
seed=1796 ega_chests=1 (2000,-1232)x2
seed=1962 ega_chests=1 (-4192,2832)x2
seed=1990 ega_chests=1 (2624,-368)x2
seed=2087 ega_chests=1 (-4096,-352)x2
seed=2089 ega_chests=1 (-336,-2272)x2
seed=2233 ega_chests=1 (-3024,-2208)x2
seed=2325 ega_chests=1 (-3712,-512)x2
seed=2332 ega_chests=1 (-1760,2032)x3
seed=2429 ega_chests=1 (176,-2256)x2
seed=2431 ega_chests=1 (2208,0)x2
seed=2616 ega_chests=1 (1296,4544)x2
seed=2625 ega_chests=1 (4512,704)x2
seed=2643 ega_chests=1 (4224,-1904)x2
seed=2658 ega_chests=1 (80,3472)x2
seed=2672 ega_chests=1 (-2560,4064)x2
seed=2674 ega_chests=1 (320,-4336)x2
seed=2776 ega_chests=1 (1632,2176)x2
seed=2855 ega_chests=1 (288,3312)x2
seed=2890 ega_chests=1 (1296,-3760)x2
seed=2903 ega_chests=1 (-3568,-3152)x2
seed=2947 ega_chests=1 (-3472,3440)x2
seed=3002 ega_chests=1 (704,992)x2
seed=3136 ega_chests=1 (2896,-592)x2
seed=3196 ega_chests=1 (-448,160)x2
seed=3270 ega_chests=1 (-2464,-1200)x2
seed=3307 ega_chests=1 (-3168,2768)x2
seed=3321 ega_chests=1 (-1536,-2288)x2
seed=3345 ega_chests=1 (1632,4064)x2
seed=3355 ega_chests=1 (2288,-4144)x2
seed=3402 ega_chests=1 (-512,-1104)x2
seed=3511 ega_chests=1 (1552,-432)x2
seed=3515 ega_chests=1 (-496,-1024)x2
seed=3539 ega_chests=1 (-1584,1600)x2
seed=3573 ega_chests=1 (-4240,2800)x2
seed=3653 ega_chests=1 (2688,-3584)x2
seed=3674 ega_chests=1 (224,-2432)x2
seed=3744 ega_chests=1 (3888,832)x2
seed=3817 ega_chests=1 (-2464,-912)x2
seed=3860 ega_chests=1 (-2512,-1280)x2
seed=3935 ega_chests=1 (208,-4336)x2
seed=3949 ega_chests=1 (-3632,192)x2
seed=3983 ega_chests=1 (-1648,-3472)x2
seed=3985 ega_chests=1 (2016,1344)x2
seed=3987 ega_chests=1 (288,-624)x2
seed=4006 ega_chests=1 (-2224,48)x2
seed=4069 ega_chests=1 (1024,-1920)x2
seed=4078 ega_chests=1 (1664,3488)x2
seed=4092 ega_chests=1 (-1600,4112)x2
seed=4122 ega_chests=1 (1392,-2976)x2
seed=4140 ega_chests=1 (-560,-3008)x2
seed=4196 ega_chests=1 (-2976,656)x2
seed=4223 ega_chests=1 (-3616,-576)x2
seed=4369 ega_chests=1 (-1584,64)x2
seed=4371 ega_chests=1 (-640,816)x2
seed=4426 ega_chests=1 (1632,-2480)x2
seed=4474 ega_chests=1 (-3200,-1232)x2
